X	Filing Date	Trade Date	Ticker	Company Name	Insider Name	Title	Trade Type	Price	Qty	Owned	ΔOwn	Value	1d	1w	1m	6m
M	2024-10-23 17:13:58	2024-10-21	LGF	Lions Gate Entertainment Corp /cn/	Liberty 77 Capital L.P.	10%	P - Purchase	$6.73	+646,080	4,689,124	+16%	+$4,347,082				
	2024-10-23 16:52:29	2024-10-22	TCBI	Texas Capital Bancshares Inc/tx	Stallings Robert W	Dir	P - Purchase	$21.28	+20,000	668,480	+3%	+$425,600				
	2024-10-23 16:15:34	2024-10-22	LGCY	Legacy Education Inc.	Milad Ragheb	Chief Academic Officer	P - Purchase	$5.84	+335	335	New	+$1,956				
DM	2024-10-23 14:23:05	2024-09-09	GIFT	Rde, Inc.	Wellisch Balazs	CTO	P - Purchase	$1.49	+36,000	1,040,217	+4%	+$53,700				
	2024-10-23 13:39:39	2024-10-23	GALT	Galectin Therapeutics Inc	Eldred Kary	Dir	P - Purchase	$2.60	+500	54,638	+1%	+$1,300				
D	2024-10-23 13:03:42	2024-10-18	SNWV	Sanuwave Health, Inc.	Manchester Management Co LLC	Director by Deputization	P - Purchase	$8.25	+181,818	140,652	-442%	+$1,499,999				
M	2024-10-23 12:08:12	2024-10-21	NRDS	Nerdwallet, Inc.	Topline Capital Management, LLC	See Explanation in Footnotes	P - Purchase	$11.43	+461,777	5,251,145	+10%	+$5,275,974				
	2024-10-23 12:05:34	2024-10-22	TPL	Texas Pacific Land Corp	Stahl Murray	Dir	P - Purchase	$1,085.35	+12	1,138,241	0%	+$13,024				
M	2024-10-23 11:43:15	2024-10-21	NRDS	Nerdwallet, Inc.	Topline Capital Partners, LP	10%	P - Purchase	$11.43	+461,777	5,251,145	+10%	+$5,275,974				
M	2024-10-23 10:50:35	2024-10-21	AESI	Atlas Energy Solutions Inc.	Shepard Gregory M	Member of 10% Owner Group	P - Purchase	$19.83	+9,812	7,517,006	0%	+$194,618				
	2024-10-23 10:40:51	2024-10-23	ATLO	Ames National Corp	Hagan Patrick G	Dir	P - Purchase	$17.63	+500	7,670	+7%	+$8,815				
M	2024-10-22 21:27:59	2024-05-21	GEG	Great Elm Group, Inc.	Northern Right Capital Management, L.P.	Member of 13D 10% Group, 10%	P - Purchase	$1.77	+50,000	4,243,168	+1%	+$88,326				
	2024-10-22 20:16:25	2024-10-18	DYNR	Dynaresource Inc	Rose Matthew K	Dir, 10%	P - Purchase	$1.04	+1,495,000	4,766,894	+46%	+$1,554,800				
M	2024-10-22 18:04:27	2024-10-18	FBK	Fb Financial Corp	Ayers James W.	10%	P - Purchase	$48.58	+5,500	10,896,341	0%	+$267,170				
AD	2024-10-22 17:31:39	2024-10-15	CAMP	Camp4 Therapeutics Corp	Polaris Management Co. Vii, L.L.C.	10%	P - Purchase	$11.00	+909,090	909,090	New	+$9,999,990				
M	2024-10-22 17:03:00	2024-10-18	TTSH	Tile Shop Holdings, Inc.	Fund 1 Investments, LLC	10%	P - Purchase	$6.73	+46,500	9,036,876	+1%	+$312,816				
M	2024-10-22 16:30:08	2024-10-18	RMCF	Rocky Mountain Chocolate Factory, Inc.	Global Value Investment Corp.	10%	P - Purchase	$2.18	+31,109	1,316,882	+2%	+$67,901				
M	2024-10-22 16:30:04	2024-10-18	RMCF	Rocky Mountain Chocolate Factory, Inc.	Geygan Jeffrey Richart	Interim CEO, 10%	P - Purchase	$2.18	+31,109	1,316,882	+2%	+$67,901				
M	2024-10-22 16:22:21	2024-10-18	BCOV	Brightcove Inc	Edenbrook Capital, LLC	10%	P - Purchase	$2.08	+11,369	13,324,501	0%	+$23,595				
	2024-10-22 16:20:04	2024-10-18	JANX	Janux Therapeutics, Inc.	Ra Capital Management, L.P.	Dir, 10%	P - Purchase	$44.75	+1,200,000	10,365,652	+13%	+$53,700,000				
D	2024-10-22 15:22:19	2024-10-18	DYNR	Dynaresource Inc	Nichol Gareth	10%	P - Purchase	$1.04	+2,778,846	5,425,768	+105%	+$2,890,000				
M	2024-10-22 12:25:44	2024-10-10	WYTC	Wytec International Inc	Gray William Henry	CEO, 10%	P - Purchase	$2.43	+200	3,197,897	0%	+$486				
	2024-10-22 11:44:21	2024-10-21	TPL	Texas Pacific Land Corp	Stahl Murray	Dir	P - Purchase	$1,069.31	+12	1,138,229	0%	+$12,832				
	2024-10-22 11:13:04	2024-10-21	CASS	Cass Information Systems Inc	Normile Michael James	CFO	P - Purchase	$40.30	+200	12,270	+2%	+$8,060				
	2024-10-22 06:02:33	2024-10-18	GIFT	Rde, Inc.	Thakker Ketan	CEO	P - Purchase	$1.49	+10,000	2,694,208	0%	+$14,900				
DM	2024-10-21 21:36:30	2024-09-18	AIRJ	Montana Technologies Corp.	Spence John Yogi	10%	P - Purchase	$8.50	+17,647	967,868	+2%	+$150,000				
M	2024-10-21 20:22:37	2021-05-03	ALDX	Aldeyra Therapeutics, Inc.	Miller-Rich Nancy	Dir	P - Purchase	$11.33	+922	922	New	+$10,447				
DM	2024-10-21 19:31:54	2024-07-16	JETMF	Global Crossing Airlines Group Inc.	Red Oak Partners, LLC	10%	P - Purchase	$0.47	+4,261,630	11,349,647	+60%	+$2,005,538				
M	2024-10-21 18:05:27	2024-09-18	JFBR	Jeffs' Brands Ltd	Conroy Jeffrey J.	10%	P - Purchase	$0.33	+4,787,320	1,720,002	-156%	+$1,559,675				
	2024-10-21 17:12:07	2024-10-18	HEI	Heico Corp	Schriesheim Alan	Dir	P - Purchase	$262.94	+724	203,115	0%	+$190,368				
	2024-10-21 17:11:57	2024-10-18	HEI	Heico Corp	Mendelson Victor H	Co-Pres	P - Purchase	$262.94	+726	2,793,597	0%	+$190,894				
	2024-10-21 17:11:47	2024-10-18	HEI	Heico Corp	Mendelson Eric A	Co-Pres	P - Purchase	$262.94	+726	2,654,813	0%	+$190,894				
	2024-10-21 17:11:36	2024-10-18	HEI	Heico Corp	Schwitter Frank J	Dir	P - Purchase	$262.94	+726	2,699	+37%	+$190,894				
	2024-10-21 17:11:25	2024-10-18	HEI	Heico Corp	Henriques Adolfo	Dir	P - Purchase	$262.94	+726	36,052	+2%	+$190,894				
	2024-10-21 17:11:16	2024-10-18	HEI	Heico Corp	Fine Carol F.	Dir	P - Purchase	$262.94	+725	2,970	+32%	+$190,631				
	2024-10-21 17:11:06	2024-10-18	HEI	Heico Corp	Mendelson Laurans A	COB, CEO	P - Purchase	$262.94	+725	4,223,874	0%	+$190,631				
	2024-10-21 17:10:55	2024-10-18	HEI	Heico Corp	Culligan Thomas M	Dir	P - Purchase	$262.94	+726	17,047	+4%	+$190,894				
	2024-10-21 17:10:45	2024-10-18	HEI	Heico Corp	Hildebrandt Mark H	Dir	P - Purchase	$262.94	+726	59,991	+1%	+$190,894				
	2024-10-21 17:10:35	2024-10-18	HEI	Heico Corp	Neitzel Julie	Dir	P - Purchase	$262.94	+726	17,128	+4%	+$190,894				
	2024-10-21 13:51:14	2024-10-21	YORW	York Water Co	Rasmussen Steven R	Dir	P - Purchase	$37.43	+27	4,244	+1%	+$1,000				
	2024-10-21 12:11:56	2024-10-18	AESI	Atlas Energy Solutions Inc.	Shepard Gregory M	Member of 10% Owner Group	P - Purchase	$19.65	+1,797	7,507,194	0%	+$35,311				
	2024-10-21 11:27:24	2024-10-18	TPL	Texas Pacific Land Corp	Stahl Murray	Dir	P - Purchase	$1,063.01	+12	1,138,217	0%	+$12,756				
	2024-10-21 11:04:57	2024-10-18	RVP	Retractable Technologies Inc	Shaw Thomas J	Pres, CEO, 10%	P - Purchase	$0.75	+8,104	15,605,252	0%	+$6,062				
	2024-10-21 10:56:03	2024-10-17	QCRH	Qcr Holdings Inc	Ziegler Marie Z.	Dir	P - Purchase	$81.38	+80	50,544	0%	+$6,510				
